"id","handle","lat","long","state","state2","set.year"
205,"ANDRUSLK",46.7,-85.040278,"michigan:north","michigan:north",1851
332,"CAMP11LK",46.666667,-88.016667,"michigan:north","michigan:north",1907
369,"CHIPPEWA",43.123889,-83.241111,"michigan:south","michigan:south",1840
532,"CUB2",44.7,-84.958333,"michigan:south","michigan:south",1907
679,"DEMONTLK",43.48,-85,"michigan:south","michigan:south",1840
847,"FRAINSLK",42.33,-83.63,"michigan:south","michigan:south",1840
982,"GREENLK",44.883333,-85.116667,"michigan:south","michigan:south",1851
1524,"KITCHNER",45.666667,-87.455,"michigan:north","michigan:north",1860
1580,"LAKE16",45.6,-84.316667,"michigan:south","michigan:south",1907
1581,"LAKE27",45.066667,-84.783333,"michigan:south","michigan:south",1907
1665,"LOSTLAKE",46.719435,-87.97207,"michigan:north","michigan:north",1907
1725,"MCNRNY2A",46.427222,-84.958333,"michigan:north","michigan:north",1851
3485,"MCNRNY3A",46.427222,-84.958333,"michigan:north","michigan:north",1851
3486,"MCNRNY4A",46.427222,-84.958333,"michigan:north","michigan:north",1851
2318,"RYERSE",46.131944,-85.179167,"michigan:north","michigan:north",1846
2586,"SPIRIT",46.47,-86.958333,"michigan:north","michigan:north",1851
3831,"VESTABRG",43.416667,-84.883333,"michigan:south","michigan:south",1840
2961,"WINTERGR",42.4,-85.383333,"michigan:south","michigan:south",1840
3032,"WOLVERIN",46.429167,-85.661111,"michigan:north","michigan:north",1907
3047,"YELLOWDG",46.75,-87.95,"michigan:north","michigan:north",1907
15682,"CANYONMI",46.833333,-87.921389,"michigan:north","michigan:north",1846
12001,"LTDOLLAR",46.186,-85.3082,"michigan:north","michigan:north",1846
13047,"IRWINSMT",45.0265,-83.61,"michigan:south","michigan:south",1907
13097,"GLIMML1",46.21517,-89.32082,"michigan:north","michigan:north",1907
14410,"TOWER1",46.542635,-86.037795,"michigan:north","michigan:north",1851
14443,"TOWER4",46.542635,-86.037795,"michigan:north","michigan:north",1851
14889,"TOWER6",46.542635,-86.037795,"michigan:north","michigan:north",1851
17993,"TOWER7",46.542635,-86.037795,"michigan:north","michigan:north",1851
14933,"NELSONMI",46.2287,-85.380295,"michigan:north","michigan:north",1851
15032,"MUDLKMI",47.129415,-88.3169877777778,"michigan:north","michigan:north",1846
15035,"LILYMI",47.911995,-89.0908,"michigan:north","michigan:north",1860
15309,"ESOLDIER",46.34668,-84.857625,"michigan:north","michigan:north",1851
15311,"GUARD",46.12683,-84.77968,"michigan:north","michigan:north",1846
15316,"TROUTLBG",46.205,-85.0215,"michigan:north","michigan:north",1846
15487,"COWDEN",43.35538,-85.3568,"michigan:south","michigan:south",1840
15492,"HICKSMI",44.022755,-85.283325,"michigan:south","michigan:south",1851
15511,"MORRIMI",42.861,-85.2115,"michigan:south","michigan:south",1840
15660,"BUCKMI",46.520515,-86.35387,"michigan:north","michigan:north",1851
15916,"KERRMI",46.24378,-89.2758,"michigan:north","michigan:north",1907
15919,"CROOKEDN",46.24525,-89.29409,"michigan:north","michigan:north",1907
20695,"CROOKEDR",46.24525,-89.29409,"michigan:north","michigan:north",1907
20697,"CROOKEDU",46.24525,-89.29409,"michigan:north","michigan:north",1907
15922,"JAYLAKE",46.23435,-89.28155,"michigan:north","michigan:north",1907
17404,"LORRAINE",46.144685,-86.48299,"michigan:north","michigan:north",1907
17406,"PENEGOR",46.61506,-88.86036,"michigan:north","michigan:north",1851
20397,"SRHODY",46.565795,-86.0752,"michigan:north","michigan:north",1851
20512,"MINDEN",43.60373,-82.86388,"michigan:south","michigan:south",1840
29,"ALLIE",44.8036,-94.5579,"minnesota","minnesota",1855
30,"ALMORA1",46.206111,-95.293611,"minnesota","minnesota",1871
202,"ANDERSLK",46.416667,-92.716667,"minnesota","minnesota",1869
204,"ANDREE",45.725,-93.25,"minnesota","minnesota",1857
223,"BADMED",47.123935,-95.397205,"minnesota","minnesota",1874
241,"BBASS",46.128056,-93.703889,"minnesota","minnesota",1870
249,"BECKMAN",45.425,-93.183333,"minnesota","minnesota",1856
3062,"BECKMNBG",45.425,-93.183333,"minnesota","minnesota",1856
272,"BIGJOHN",47.559175,-94.970775,"minnesota","minnesota",1890
275,"BILLYS",46.27058,-94.551555,"minnesota","minnesota",1870
280,"BLANDIN",47.133333,-93.666667,"minnesota","minnesota",1869
282,"BLKHOOF",46.503333,-92.573333,"minnesota","minnesota",1858
296,"BOBLAKE",46.633611,-92.614722,"minnesota","minnesota",1858
298,"BOGD",47.1775,-95.162675,"minnesota","minnesota",1879
305,"BOSSUOT",44.296475,-93.73571,"minnesota","minnesota",1855
314,"BROWNSBY",44.95769,-93.545105,"minnesota","minnesota",1855
325,"BURNTSDE",47.924167,-91.994722,"minnesota","minnesota",1881
334,"CAMPBELL",44.70722,-93.497645,"minnesota","minnesota",1854
352,"CEDARBLK",45.411111,-93.197222,"minnesota","minnesota",1856
382,"CINDY",47.172305,-94.938965,"minnesota","minnesota",1878
515,"MNGRCL",45.76101,-96.01988,"minnesota","minnesota",1868
521,"CRAZY",47.182465,-95.73495,"minnesota","minnesota",1875
545,"DALTON",46.173889,-95.915278,"minnesota","minnesota",1869
717,"DOGFISH",48.183333,-92.183333,"minnesota","minnesota",1895
774,"DUNNIGAN",47.708333,-91.641667,"minnesota","minnesota",1907
781,"EASTTWIN",45.333333,-93.508333,"minnesota","minnesota",1855
786,"EGGERT",44.47012,-93.619035,"minnesota","minnesota",1855
817,"FAITH",47.272455,-96.09405,"minnesota","minnesota",1872
822,"FARQUAR",44.75815,-93.16449,"minnesota","minnesota",1854
824,"FAWNLAKE",46.218889,-94.753333,"minnesota","minnesota",1863
846,"FOXPOND",47.165,-95.558333,"minnesota","minnesota",1875
850,"FRENCH",44.945765,-94.42074,"minnesota","minnesota",1856
869,"GEORGE",44.2329,-93.87066,"minnesota","minnesota",1855
15245,"MNBELG",44.2329,-93.87066,"minnesota","minnesota",1855
967,"GOLDSMTH",46.583333,-92.466667,"minnesota","minnesota",1858
990,"GRICE",47.2036,-95.755515,"minnesota","minnesota",1875
1032,"HEMOPOND",47.133,-95.47461,"minnesota","minnesota",1874
1109,"HORSE",47.181535,-95.86866,"minnesota","minnesota",1871
1110,"HORSHOHA",45.460278,-93.047778,"minnesota","minnesota",1854
1111,"HOSTAGE",46.55,-94.133333,"minnesota","minnesota",1871
1134,"HUGLAKE",47.958333,-90.933333,"minnesota","minnesota",1885
1138,"HUSTLER",48.233333,-92.158333,"minnesota","minnesota",1895
1153,"IRVIN",47.135556,-93.643611,"minnesota","minnesota",1869
1163,"JACOBSN1",46.416944,-92.716944,"minnesota","minnesota",1869
3138,"JACOBSN2",46.416944,-92.716944,"minnesota","minnesota",1869
15274,"MNSHBL",45.428085,-93.981475,"minnesota","minnesota",1856
1446,"KEGAN",44.75836,-93.11674,"minnesota","minnesota",1854
1520,"KIRCHNR1",44.77085,-93.12255,"minnesota","minnesota",1854
3455,"KIRCHNR2",44.77085,-93.12255,"minnesota","minnesota",1854
1548,"KOTIRANT",46.72,-92.62,"minnesota","minnesota",1870
1552,"KRYZ",46.353333,-92.870278,"minnesota","minnesota",1870
1564,"KYLENLK",47.35,-91.8,"minnesota","minnesota",1892
1584,"LAKEANN",45.425,-93.6875,"minnesota","minnesota",1855
3468,"LAKEANNF",45.425,-93.6875,"minnesota","minnesota",1855
3469,"LAKEANNH",45.425,-93.6875,"minnesota","minnesota",1855
1588,"LAKECARL",44.79985,-93.15975,"minnesota","minnesota",1853
1629,"LEWISLK",45.749444,-93.364167,"minnesota","minnesota",1857
1633,"LILYLAKE",45.05,-92.825,"minnesota","minnesota",1847
1639,"LITTBASS",47.286,-93.600465,"minnesota","minnesota",1869
