"datset_id","name","handle","lat","long","state","age_type","bacon","amb_rise","pol_age_min","pol_age_max","gc_age_min","gc_age_max","reason","new","state2","x","y","set.year"
29,"Lake Allie","ALLIE",44.8036,-94.5579,"minnesota","Radiocarbon years BP",TRUE,FALSE,-12,478,-15,95,NA,NA,"minnesota",109713.936799965,977523.885962526,1855
30,"Almora Lake","ALMORA1",46.206111,-95.293611,"minnesota","Radiocarbon years BP",FALSE,FALSE,3716,11290,NA,NA,NA,NA,"minnesota",75530.6321301159,1140340.13644088,1871
202,"Anderson Lake","ANDERSLK",46.416667,-92.716667,"minnesota","Radiocarbon years BP",TRUE,FALSE,10058,10742,10350,10800,NA,NA,"minnesota",275028.773237221,1137136.66232196,1866
204,"Andree Bog","ANDREE",45.725,-93.25,"minnesota","Radiocarbon years BP",FALSE,FALSE,8970,11333,NA,NA,NA,NA,"minnesota",224838.305721323,1065660.05196997,1857
223,"Bad Medicine Lake","BADMED",47.123935,-95.397205,"minnesota","Radiocarbon years BP",TRUE,FALSE,-9,223,-15,77,NA,NA,"minnesota",83027.2967177605,1242568.51574078,1873
241,"Black Bass Lake","BBASS",46.128056,-93.703889,"minnesota","Radiocarbon years BP",TRUE,FALSE,0,1994,-15,80,NA,NA,"minnesota",195674.921407681,1114636.89343597,1870
249,"Beckman Lake","BECKMAN",45.425,-93.183333,"minnesota","Radiocarbon years BP",TRUE,FALSE,0,10412,0,96,NA,NA,"minnesota",225860.925100248,1031871.05543425,1854
3062,"Beckman Lake","BECKMNBG",45.425,-93.183333,"minnesota","Radiocarbon years BP",TRUE,FALSE,-29,429,-29,96,NA,NA,"minnesota",225860.925100248,1031871.05543425,1854
272,"Big John Pond","BIGJOHN",47.559175,-94.970775,"minnesota","Radiocarbon years BP",TRUE,FALSE,-31,5374,-31,3495,NA,NA,"minnesota",122022.866251561,1285729.27075439,1874
275,"Billy's Lake","BILLYS",46.27058,-94.551555,"minnesota","Radiocarbon years BP",TRUE,FALSE,-24,10099,-24,9910,NA,NA,"minnesota",133102.2543216,1139174.43738222,1858
