"handle","dataset.id","acc.mean.mod","acc.mean.old","acc.shape.mod","acc.shape.old","mem.strength","mem.mean","hiatus","thick","age.type","run","suit","ndates","success"
"ADELINE","13060",3.02,15,0.53,0.9,4,0.7,1,5,"Calibrated radiocarbon years BP",FALSE,TRUE,7,1
"MNFRAL","12016",3.02,15,0.53,0.9,4,0.7,NA,5,"Calendar years BP",FALSE,FALSE,1,NA
"ALLIE","29",3.02,15,0.53,0.9,4,0.7,0,5,"Radiocarbon years BP",FALSE,TRUE,2,1
"AMBER","14631",3.02,15,0.53,0.9,4,0.7,NA,5,"Calendar years BP",FALSE,FALSE,1,NA
"ANDRUSLK","205",3.02,15,0.53,0.9,4,0.7,1,5,"Radiocarbon years BP",FALSE,TRUE,13,1
"BADMED","223",3.02,15,0.53,0.9,4,0.7,0,5,"Radiocarbon years BP",FALSE,TRUE,2,1
"BASSK","14270",3.02,15,0.53,0.9,4,0.7,NA,5,"Calendar years BP",FALSE,FALSE,1,NA
"BBASS","241",3.02,15,0.53,0.9,4,0.7,0,5,"Radiocarbon years BP",FALSE,TRUE,2,1
"BECKMAN","249",3.02,15,0.53,0.9,4,0.7,0,5,"Radiocarbon years BP",FALSE,TRUE,2,1
"BECKMNBG","3062",3.02,15,0.53,0.9,4,0.7,0,5,"Radiocarbon years BP",FALSE,TRUE,2,1
"BIGJOHN","272",3.02,15,0.53,0.9,4,0.7,1,5,"Radiocarbon years BP",FALSE,TRUE,5,1
"BILLYS","275",3.02,15,0.53,0.9,4,0.7,1,5,"Radiocarbon years BP",FALSE,TRUE,8,1
"BLANDIN","280",3.02,15,0.53,0.9,4,0.7,0,5,"Radiocarbon years BP",FALSE,TRUE,2,1
"BLOMFORD","10973",3.02,15,0.53,0.9,4,0.7,0,5,"Calendar years BP",FALSE,TRUE,2,1
"BLUMOUND","287",3.02,15,0.53,0.9,4,0.7,1,5,"Radiocarbon years BP",FALSE,TRUE,6,1
"BOBLAKE","296",3.02,15,0.53,0.9,4,0.7,0,5,"Radiocarbon years BP",FALSE,TRUE,2,1
"BOGD","298",3.02,15,0.53,0.9,4,0.7,1,5,"Radiocarbon years BP",FALSE,TRUE,5,1
"BOSSUOT","305",3.02,15,0.53,0.9,4,0.7,0,5,"Radiocarbon years BP",FALSE,TRUE,2,1
"BROWNLK","313",3.02,15,0.53,0.9,4,0.7,1,3,"Radiocarbon years BP",FALSE,TRUE,12,0
"BROWNSBY","314",3.02,15,0.53,0.9,4,0.7,1,5,"Calendar years BP",FALSE,TRUE,13,1
"BURNTSDE","325",3.02,15,0.53,0.9,4,0.7,0,5,"Radiocarbon years BP",FALSE,TRUE,2,1
"CAMP","14633",3.02,15,0.53,0.9,4,0.7,NA,5,"Calendar years BP",FALSE,FALSE,1,NA
"CAMP11LK","332",3.02,15,0.53,0.9,4,0.7,1,5,"Radiocarbon years BP",FALSE,TRUE,13,1
"CAMP12LK","333",3.02,15,0.53,0.9,4,0.7,0,5,"Radiocarbon years BP",FALSE,TRUE,15,1
