"labid","age","error","depth","cc"
"Core top_18437",-51,5,1467,0
"Ambrosia rise_18438",90,10,1569,0
"Radiocarbon_18439",1530,50,1631,1
"Radiocarbon_18440",2410,50,1746.5,1
"Radiocarbon_18441",3630,40,2001.3,1
"Radiocarbon_18442",4730,60,2365,1
"Radiocarbon_18443",6528,35,2730.5,1
"Radiocarbon_18444",6840,50,2865.5,1
"Radiocarbon_18445",7995,40,2935.5,1
"Radiocarbon_18446",9430,45,2971,1
"Radiocarbon_18447",8130,120,2977.5,1
"Radiocarbon_18448",9510,130,2989.5,1
"Radiocarbon_18449",10255,45,2994,1
