"handle","name","dataset_id","pol_age_min","pol_age_max","age_type","bacon","gc_age_min","gc_age_max","reason","new","amb_rise"
"ALLIE","Lake Allie",29,-12,478,"Radiocarbon years BP",TRUE,-15,95,NA,FALSE,FALSE
"HELLSKIT","Hell's Kitchen Lake",3131,2,2040,"Varve years BP",TRUE,-10,2046,NA,FALSE,FALSE
"LAKEMARY","Lake Mary",3473,200,10345,"Radiocarbon years BP",TRUE,200,9460,NA,FALSE,FALSE
"BADMED","Bad Medicine Lake",223,-9,223,"Radiocarbon years BP",TRUE,-15,76,NA,FALSE,FALSE
"BBASS","Black Bass Lake",241,0,1994,"Radiocarbon years BP",TRUE,-15,80,NA,FALSE,FALSE
"BECKMAN","Beckman Lake",249,0,10412,"Radiocarbon years BP",TRUE,0,94,NA,FALSE,FALSE
"BECKMNBG","Beckman Lake",3062,-29,429,"Radiocarbon years BP",TRUE,-29,94,NA,FALSE,FALSE
"BIGJOHN","Big John Pond",272,-31,5374,"Radiocarbon years BP",TRUE,-31,3310,NA,FALSE,FALSE
"BILLYS","Billy's Lake",275,-24,9949,"Radiocarbon years BP",TRUE,-24,9760,NA,FALSE,FALSE
"BLANDIN","Blandin Pond",280,-28,696,"Radiocarbon years BP",TRUE,-32,81,NA,FALSE,FALSE
"BLUMOUND","Blue Mounds Creek",287,0,10322,"Radiocarbon years BP",TRUE,0,10485,NA,FALSE,FALSE
"BOBLAKE","Bob Lake",296,-9,495,"Radiocarbon years BP",TRUE,-15,92,NA,FALSE,FALSE
"BOGD","Bog D Pond",298,-10,10296,"Radiocarbon years BP",TRUE,-13,8560,NA,FALSE,FALSE
"BOSSUOT","Bossuot Lake",305,-13,467,"Radiocarbon years BP",TRUE,-15,95,NA,FALSE,FALSE
"BURNTSDE","Burntside Lake",325,-24,904,"Radiocarbon years BP",TRUE,-24,69,NA,FALSE,FALSE
"CAMP11LK","Camp 11 Lake",332,0,10355,"Radiocarbon years BP",TRUE,0,10200,NA,FALSE,FALSE
"CAMPBELL","Campbell Lake",334,-12,343,"Radiocarbon years BP",TRUE,-15,96,NA,FALSE,FALSE
"CEDARBLK","Cedar Bog",352,-10,11056,"Radiocarbon years BP",TRUE,-10,7880,NA,FALSE,FALSE
"CHIPPEWA","Chippewa Bog",369,797,10024,"Radiocarbon years BP",TRUE,1200,9540,NA,FALSE,FALSE
"CINDY","Cindy Pond",382,-9,495,"Radiocarbon years BP",TRUE,-15,72,NA,FALSE,FALSE
"MNGRCL","Cottonwood Lake",515,-12,165,"Radiocarbon years BP",TRUE,-15,82,NA,FALSE,FALSE
